index,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
335,namtsy,62.7161,129.6658,35.6,87,90,2.24,RU,1619477583
336,sitka,57.0531,-135.33,50.0,76,1,3.44,US,1619477583
337,lagoa,39.05,-27.9833,59.77,89,92,10.4,PT,1619477189
338,mirai,-21.1953,-42.6142,69.6,93,27,4.38,BR,1619477584
339,normandin,48.8333,-72.5321,34.93,75,100,16.11,CA,1619477584
340,winnemucca,40.973,-117.7357,44.6,45,90,9.22,US,1619477585
341,warrensburg,38.7628,-93.7361,82.4,32,1,26.46,US,1619477585
342,port hardy,50.6996,-127.4199,52.21,76,40,9.22,CA,1619477586
343,nelson bay,-32.7167,152.15,59.0,94,40,10.36,AU,1619477295
344,coihaique,-45.5752,-72.0662,51.8,87,75,6.91,CL,1619477586
345,beaufort,5.3473,115.7455,78.4,94,20,1.14,MY,1619477587
346,san jose de guanipa,8.8872,-64.1651,89.46,34,88,9.13,VE,1619477587
347,hanko,59.8333,22.95,36.72,91,100,1.99,FI,1619477587
348,herat,34.5,62.0,63.81,20,83,5.99,AF,1619477588
349,englewood,39.6478,-104.9878,75.52,7,75,16.11,US,1619477453
350,navahrudak,53.6,25.8333,27.84,95,65,7.25,BY,1619477588
351,moree,-29.4667,149.85,59.0,72,0,9.22,AU,1619477589
352,dingle,10.9995,122.6711,78.6,78,52,7.7,PH,1619477589
353,kachug,53.9606,105.8817,30.33,76,63,11.41,RU,1619477590
354,santa marta,11.2408,-74.199,86.2,58,90,14.97,CO,1619477513
355,tomelloso,39.1522,-3.0243,50.18,82,40,5.75,ES,1619477590
356,ayr,55.4627,-4.6339,47.28,87,90,4.61,GB,1619477591
357,siavonga,-16.5382,28.7088,73.38,55,2,4.07,ZM,1619477591
358,mianyang,31.4593,104.7542,61.83,78,98,1.88,CN,1619477592
359,cherskiy,68.75,161.3,21.4,83,60,8.39,RU,1619477592
360,garowe,8.4054,48.4845,78.22,66,90,5.39,SO,1619477593
361,los llanos de aridane,28.6585,-17.9182,63.16,73,90,3.44,ES,1619477334
362,port keats,-14.25,129.55,79.02,76,64,6.13,AU,1619477333
363,labuhan,-6.8844,112.2051,76.96,84,58,6.35,ID,1619477301
364,pauini,-7.7136,-66.9764,73.04,97,89,1.83,BR,1619477594
365,gouyave,12.1646,-61.7296,82.4,69,20,19.57,GD,1619477594
366,hithadhoo,-0.6,73.0833,82.31,64,10,4.83,MV,1619477594
